track,album,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,0.451,0.673,7,-9.115,1,0.0734,0.0857,0.00225,0.797,0.583,95.513,audio_features,4fUKE8EULjQdHF4zb0M8FO,spotify:track:4fUKE8EULjQdHF4zb0M8FO,https://api.spotify.com/v1/tracks/4fUKE8EULjQdHF4zb0M8FO,https://api.spotify.com/v1/audio-analysis/4fUKE8EULjQdHF4zb0M8FO,122893,4
With A Little Help From My Friends,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,0.705,0.515,4,-9.343,1,0.0337,0.365,0,0.389,0.803,112.035,audio_features,2RnPATK99oGOZygnD2GTO6,spotify:track:2RnPATK99oGOZygnD2GTO6,https://api.spotify.com/v1/tracks/2RnPATK99oGOZygnD2GTO6,https://api.spotify.com/v1/audio-analysis/2RnPATK99oGOZygnD2GTO6,164107,4
Lucy in the Sky With Diamonds,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,audio_features,25yQPHgC35WNnnOUqFhgVR,spotify:track:25yQPHgC35WNnnOUqFhgVR,https://api.spotify.com/v1/tracks/25yQPHgC35WNnnOUqFhgVR,https://api.spotify.com/v1/audio-analysis/25yQPHgC35WNnnOUqFhgVR,208467,1
Getting Better,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,0.632,0.471,0,-7.887,1,0.0348,0.313,0.00000508,0.0712,0.764,121.672,audio_features,3LtOmWpTXLhilL5odoKysR,spotify:track:3LtOmWpTXLhilL5odoKysR,https://api.spotify.com/v1/tracks/3LtOmWpTXLhilL5odoKysR,https://api.spotify.com/v1/audio-analysis/3LtOmWpTXLhilL5odoKysR,168120,4
Fixing A Hole,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,0.469,0.507,0,-8.917,0,0.0451,0.382,0,0.0783,0.619,112.984,audio_features,3pKKxkeB1pOUMHwWBmKc3Y,spotify:track:3pKKxkeB1pOUMHwWBmKc3Y,https://api.spotify.com/v1/tracks/3pKKxkeB1pOUMHwWBmKc3Y,https://api.spotify.com/v1/audio-analysis/3pKKxkeB1pOUMHwWBmKc3Y,156827,4
She's Leaving Home,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,0.381,0.214,4,-11.629,1,0.0337,0.944,0,0.106,0.393,127.581,audio_features,3PjMtNzwhDHqxoKudm6GvF,spotify:track:3PjMtNzwhDHqxoKudm6GvF,https://api.spotify.com/v1/tracks/3PjMtNzwhDHqxoKudm6GvF,https://api.spotify.com/v1/audio-analysis/3PjMtNzwhDHqxoKudm6GvF,215160,3
Being for the Benefit of Mr. Kite!,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,0.526,0.413,0,-9.865,1,0.0446,0.338,0,0.0992,0.71,111.874,audio_features,6W35n1UlkvqhfMZstB4BXs,spotify:track:6W35n1UlkvqhfMZstB4BXs,https://api.spotify.com/v1/tracks/6W35n1UlkvqhfMZstB4BXs,https://api.spotify.com/v1/audio-analysis/6W35n1UlkvqhfMZstB4BXs,157533,4
Within You Without You,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,0.352,0.479,6,-9.965,1,0.0338,0.339,0.000353,0.486,0.354,126.166,audio_features,3Umg8CDhO8dOSj7yBTInYb,spotify:track:3Umg8CDhO8dOSj7yBTInYb,https://api.spotify.com/v1/tracks/3Umg8CDhO8dOSj7yBTInYb,https://api.spotify.com/v1/audio-analysis/3Umg8CDhO8dOSj7yBTInYb,304667,4
When I'm Sixty-Four,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,0.704,0.241,1,-13.258,1,0.0476,0.625,0.000028,0.0868,0.661,140.411,audio_features,1NrbnHlR2BFREcyWXHIHip,spotify:track:1NrbnHlR2BFREcyWXHIHip,https://api.spotify.com/v1/tracks/1NrbnHlR2BFREcyWXHIHip,https://api.spotify.com/v1/audio-analysis/1NrbnHlR2BFREcyWXHIHip,157667,4
Lovely Rita,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,0.61,0.471,8,-9.151,0,0.0261,0.0634,0,0.118,0.63,87.379,audio_features,6h9W5FxX4E9lUFsyq8j1AD,spotify:track:6h9W5FxX4E9lUFsyq8j1AD,https://api.spotify.com/v1/tracks/6h9W5FxX4E9lUFsyq8j1AD,https://api.spotify.com/v1/audio-analysis/6h9W5FxX4E9lUFsyq8j1AD,162093,4
Good Morning Good Morning,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,0.542,0.618,2,-8.876,1,0.139,0.0858,0,0.772,0.93,121.849,audio_features,0xIuNHHcKI1JDuBPlSwzb1,spotify:track:0xIuNHHcKI1JDuBPlSwzb1,https://api.spotify.com/v1/tracks/0xIuNHHcKI1JDuBPlSwzb1,https://api.spotify.com/v1/audio-analysis/0xIuNHHcKI1JDuBPlSwzb1,161227,3
Sgt. Pepper's Lonely Hearts Club Band - Reprise,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,0.653,0.889,0,-8.006,1,0.0453,0.0061,0.589,0.892,0.879,118.773,audio_features,42ocGQCOT0xYtV3f5kJDsD,spotify:track:42ocGQCOT0xYtV3f5kJDsD,https://api.spotify.com/v1/tracks/42ocGQCOT0xYtV3f5kJDsD,https://api.spotify.com/v1/audio-analysis/42ocGQCOT0xYtV3f5kJDsD,79067,4
A Day in the Life,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,audio_features,0hKRSZhUGEhKU6aNSPBACZ,spotify:track:0hKRSZhUGEhKU6aNSPBACZ,https://api.spotify.com/v1/tracks/0hKRSZhUGEhKU6aNSPBACZ,https://api.spotify.com/v1/audio-analysis/0hKRSZhUGEhKU6aNSPBACZ,337413,4
